01/07/2024 01:49:07 AM - root - dgard - WARNING - Se ha procesado el incidente: 20300975
01/07/2024 01:49:41 AM - root - dgard - WARNING - Se ha procesado el incidente: 20300807
01/07/2024 01:50:14 AM - root - dgard - WARNING - Se ha procesado el incidente: 20298985
01/07/2024 01:50:46 AM - root - dgard - WARNING - Se ha procesado el incidente: 20299559
01/07/2024 01:51:14 AM - root - dgard - WARNING - Se presenta mensaje de advertencia en el proceso en CRM
01/07/2024 01:51:51 AM - root - dgard - WARNING - Se ha procesado el incidente: 20299161
01/07/2024 01:52:20 AM - root - dgard - WARNING - Se presenta mensaje de advertencia en el proceso en CRM
01/07/2024 01:52:57 AM - root - dgard - WARNING - Se ha procesado el incidente: 20299150
01/07/2024 01:53:27 AM - root - dgard - WARNING - Se presenta mensaje de advertencia en el proceso en CRM
01/07/2024 01:54:03 AM - root - dgard - WARNING - Se ha procesado el incidente: 20299849
01/07/2024 01:55:18 AM - root - dgard - WARNING - Se ha procesado el incidente: 20300040
01/07/2024 01:55:47 AM - root - dgard - WARNING - Se presenta mensaje de advertencia en el proceso en CRM
01/07/2024 01:56:22 AM - root - dgard - WARNING - Se ha procesado el incidente: 20299619
01/07/2024 01:56:55 AM - root - dgard - WARNING - Se ha procesado el incidente: 20299832
01/07/2024 01:57:27 AM - root - dgard - WARNING - Se ha procesado el incidente: 20299584
01/07/2024 01:58:01 AM - root - dgard - WARNING - Se ha procesado el incidente: 20299552
01/07/2024 01:58:34 AM - root - dgard - WARNING - Se ha procesado el incidente: 20299483
01/07/2024 01:59:07 AM - root - dgard - WARNING - Se ha procesado el incidente: 20298956
01/07/2024 01:59:40 AM - root - dgard - WARNING - Se ha procesado el incidente: 20299064
01/07/2024 02:00:14 AM - root - dgard - WARNING - Se ha procesado el incidente: 20298953
01/07/2024 02:01:28 AM - root - dgard - WARNING - Se ha procesado el incidente: 20299171
01/07/2024 02:01:57 AM - root - dgard - WARNING - Se presenta mensaje de advertencia en el proceso en CRM
01/07/2024 02:02:34 AM - root - dgard - WARNING - Se ha procesado el incidente: 20298981
01/07/2024 02:03:09 AM - root - dgard - WARNING - Se ha procesado el incidente: 20299792
01/07/2024 02:03:43 AM - root - dgard - WARNING - Se ha procesado el incidente: 20298972
01/07/2024 02:04:12 AM - root - dgard - WARNING - Se presenta mensaje de advertencia en el proceso en CRM
01/07/2024 02:04:49 AM - root - dgard - WARNING - Se ha procesado el incidente: 20301902
01/07/2024 02:05:18 AM - root - dgard - WARNING - Se presenta mensaje de advertencia en el proceso en CRM
01/07/2024 02:05:57 AM - root - dgard - WARNING - Se ha procesado el incidente: 20301881
01/07/2024 02:06:32 AM - root - dgard - WARNING - Se ha procesado el incidente: 20298992
01/07/2024 02:07:49 AM - root - dgard - WARNING - Se ha procesado el incidente: 20299002
01/07/2024 02:09:00 AM - root - dgard - WARNING - Se presenta mensaje de advertencia en el proceso en CRM
